orders,submit_gas,settle_gas,calldata_gas,total_gas,total_per_order,pct_of_block
1,109966,201524,4748,227272,227272,0
2,144259,238022,6824,265846,132923,0
5,247180,346415,13028,380443,76088,1
10,419284,527626,23348,571974,57197,1
25,938686,1073673,54284,1148957,45958,3
50,1817262,1993158,105896,2120054,42401,7
100,3620418,3865594,209060,4095654,40956,13
200,7410913,7744913,415352,8181265,40906,27
300,11626202,11924934,621716,12567650,41892,41
400,16444658,16524729,828008,17373737,43434,57
500,22044913,21663386,1034372,22718758,45437,75
